#blinkered/attestations/2 language=es words=35007 sources=26 built=2026-09-21 digest=daaf9ce2d590c0e0
#tokens ebible:spaRV1909=466377 gut=43198651 ia=35606640 lz:spa_news_2023_1M=7983138 lz:spa_news_2024_1M=7685108 tat=2269149 web:20minutos.es=268407 web:abc.es=538329 web:ciudadseva.com=27689 web:clarin.com=285962 web:elcomercio.pe=243253 web:eldiario.es=605905 web:elespectador.com=456549 web:elnacional.com=249186 web:eltiempo.com=338306 web:eluniversal.com.mx=175194 web:lanacion.com.ar=179118 web:larazon.es=224745 web:latercera.com=99080 web:lavanguardia.com=1866 web:letraslibres.com=208010 web:milenio.com=189597 web:pagina12.com.ar=127964 web:publico.es=184864 web:rtve.es=182169 wiki:es=858375744 wikisource:es=43016458
FORNO	gut,ia,lz:spa_news_2023_1M,lz:spa_news_2024_1M,wiki:es,wikisource:es	11,3,1,3,227,29	gut:16625 gut:48940 ia:KOTTAKC.2011.AntropologaCultural/KOTTAK%2C%20C.%202011.%20Antropolog%C3%ADa%20Cultural_djvu.txt lz:spa_news_2023_1M:https://www.nacion.com/opinion/editorial/editorial-hito-para-la-transparencia/7N5HZ3H4QRB4DC2BA5MZODAFYE/story/ lz:spa_news_2024_1M:https://www.lavoz.com.ar/sucesos/un-sacerdote-fue-asaltado-le-dispararon-con-una-escopeta-y-su-estado-es-reservado/ lz:spa_news_2024_1M:https://www.elmercuriodigital.net/2024/02/la-nacionalizacion-de-la-industria.html wiki:es:7240 wiki:es:26066 wikisource:es:4208 wikisource:es:19303
TENDERME	gut,ia,wiki:es,wikisource:es	39,6,1,31	gut:13264 gut:15206 ia:ElHeroeDeLasMilCaras/CampbellJoseph-ElHeroeDeLasMilCaras241p_djvu.txt ia:TELawrenceLosSietePilaresDeLaSabiduria/TE%20Lawrence%20-%20Los%20Siete%20Pilares%20De%20La%20Sabiduria_djvu.txt wiki:es:10377936 wikisource:es:2639 wikisource:es:2640
RECONCILIADA	gut,ia,wiki:es,wikisource:es	61,4,71,8	gut:14329 gut:16625 ia:09Cartilla50MensajesCristianos/09%20-%20Cartilla%2050%20Mensajes%20Cristianos_djvu.txt ia:AbbagnanoDiccionarioDeFilosofia2a/Abbagnano_-_Diccionario_de_Filosofia_2a_djvu.txt wiki:es:1779 wiki:es:6929 wikisource:es:15144 wikisource:es:33312
PROMOVEREMOS	gut,lz:spa_news_2024_1M,wiki:es,wikisource:es	1,5,3,48	gut:69799 lz:spa_news_2024_1M:https://radiosucre.com.ec/daniel-noboa-azin-es-el-segundo-mandatario-sudamericano-con-mayor-popularidad-en-septiembre-segun-encuesta/ lz:spa_news_2024_1M:https://comercioyjusticia.info/negocios/peru-hace-foco-en-cordoba-para-atraer-al-turismo-local-y-promover-el-destino/ wiki:es:431844 wiki:es:6979766 wikisource:es:18204 wikisource:es:36304
SUICIDANDOSE	gut,ia,tat,wiki:es,wikisource:es	9,1,2,420,8	gut:16670 gut:42727 ia:MemoriaColectivaHalbwachs./Memoria%20Colectiva-Halbwachs.-_djvu.txt tat:994888 tat:3743306 wiki:es:4321 wiki:es:5228 wikisource:es:10522 wikisource:es:19450
SECRETEO	gut,ia,wiki:es,wikisource:es	44,1,2,32	gut:17013 gut:18005 ia:diasderadioii19601995carlosulanovskymartamerkinjuanjoseacutepannogabrielatijman/Dias%20de%20radio-I-1920-1959-Carlos%20Ulanovsky-Marta%20Merkin-Juan%20Joseacute-Panno-Gabriela%20Tijman_djvu.txt wiki:es:5162961 wiki:es:10245175 wikisource:es:1323 wikisource:es:3026
OFICIOSAMENTE	gut,ia,lz:spa_news_2024_1M,web:publico.es,wiki:es,wikisource:es	26,2,1,1,164,35	gut:11070 gut:14311 ia:ElLibroNegroDelComunismoCrmenesTerrorYRepresiin/El%20libro%20Negro%20del%20Comunismo%2C%20Cr%C3%ADmenes%2C%20terror%20y%20represi%C3%B3n_djvu.txt ia:InformeCompletoSobreFrecuenciasDeRadioYTelevisin/InformeDefinitivoFrecuencias_djvu.txt lz:spa_news_2024_1M:https://noticiasya.com/2024/07/20/20-de-julio-dia-del-amigo-historia-argentino-llegada-hombre-luna-orix/ web:publico.es:https://www.publico.es/politica/partidos/psoe-completa-eleccion-candidatos-autonomicos-2027-espera-page.html wiki:es:1655 wiki:es:4066 wikisource:es:2967 wikisource:es:10076
SOLARIEGAS	gut,ia,wiki:es,wikisource:es	34,2,436,19	gut:12627 gut:12848 ia:ElAmorEnLosTiemposDelColera/GarciaMarquezGabriel-ElAmorEnLosTiemposDelColera_djvu.txt ia:MemoriaColectivaHalbwachs./Memoria%20Colectiva-Halbwachs.-_djvu.txt wiki:es:3856 wiki:es:5607 wikisource:es:2565 wikisource:es:10378
ESTAFANDO	gut,ia,lz:spa_news_2023_1M,lz:spa_news_2024_1M,tat,wiki:es,wikisource:es	1,3,5,2,1,68,12	gut:30535 ia:BasesBiblicasDeLaEtica.pdfByJamesEGiles/Bases%20Biblicas%20de%20la%20Etica.pdf%20%20By%20%20%20James%20E%20Giles_djvu.txt ia:LaSombraDelVientoCarlosRuizZafon_201811/La%20Sombra%20del%20Viento%20-%20Carlos%20Ruiz%20Zafon_djvu.txt lz:spa_news_2023_1M:https://laprensaaustral.cl/2023/10/13/por-angas-o-por-mangas-2/ lz:spa_news_2023_1M:https://riocoloradoinforma.com.ar/detectan-el-primer-caso-en-el-mundo-de-una-nueva-infeccion-parasitaria-en-humanos/ lz:spa_news_2024_1M:https://laopinion.com/2024/01/09/11-preguntas-para-entender-la-acusacion-de-genocidio-de-sudafrica-contra-israel-y-que-papel-juega-la-corte-internacional-de-justicia/ lz:spa_news_2024_1M:https://www.aragondigital.es/articulo/sd-huesca/antonio-hidalgo-hemos-dado-paso-adelante-queda-mucho-trabajo-hacer/20240119133921859928.html tat:2077309 wiki:es:28348 wiki:es:38153 wikisource:es:5228 wikisource:es:23129
ESTRUJAR	gut,ia,web:rtve.es,wiki:es,wikisource:es	40,10,1,24,24	gut:14311 gut:15046 ia:DiccionarioArabe-espanolAvanzado-p1/Diccionario_Avanzado___rabe_Herder_-_1___parte_djvu.txt ia:HistoriadoresII/A%20Dios%20por%20la%20Ciencia%20-%20Jesus%20Simon%20qntlc_djvu.txt web:rtve.es:https://www.rtve.es/deportes/20250305/benfica-barcelona-directo-partido-ida-octavos-champions-league/16473093.shtml wiki:es:22894 wiki:es:62690 wikisource:es:2967 wikisource:es:10123
